"cell_type" "time"
"1" "d2_induced" 2
"2" "d2_induced" 2
"3" "d2_induced" 2
"4" "d2_intermediate" 2
"5" "d2_intermediate" 2
"6" "d2_induced" 2
"7" "d2_intermediate" 2
"8" "d2_induced" 2
"9" "d2_induced" 2
"10" "d2_intermediate" 2
"11" "d2_induced" 2
"12" "d2_induced" 2
"13" "d2_induced" 2
"14" "d2_induced" 2
"15" "d2_intermediate" 2
"16" "d2_induced" 2
"17" "d2_intermediate" 2
"18" "d2_induced" 2
"19" "d2_intermediate" 2
"20" "d2_induced" 2
"21" "d2_induced" 2
"22" "MEF" 2
"23" "d2_induced" 2
"24" "MEF" 2
"25" "MEF" 2
"26" "d2_intermediate" 2
"27" "d2_induced" 2
"28" "d2_induced" 2
"29" "d2_induced" 2
"30" "d2_intermediate" 2
"31" "d2_induced" 2
"32" "d2_induced" 2
"33" "d2_induced" 2
"34" "d2_induced" 2
"35" "d2_intermediate" 2
"36" "d2_induced" 2
"37" "d2_induced" 2
"38" "d2_induced" 2
"39" "d2_induced" 2
"40" "d2_intermediate" 2
"41" "d2_induced" 2
"42" "d2_induced" 2
"43" "d2_intermediate" 2
"44" "MEF" 2
"45" "MEF" 2
"46" "d2_induced" 2
"47" "d2_induced" 2
"48" "MEF" 2
"49" "d2_induced" 2
"50" "d2_intermediate" 2
"51" "d2_induced" 2
"52" "d2_induced" 2
"53" "d2_induced" 2
"54" "d2_induced" 2
"55" "d2_induced" 2
"56" "d2_intermediate" 2
"57" "d2_induced" 2
"58" "d2_intermediate" 2
"59" "d2_induced" 2
"60" "d2_induced" 2
"61" "d2_induced" 2
"62" "MEF" 2
"63" "d2_induced" 2
"64" "d2_intermediate" 2
"65" "d2_induced" 2
"66" "d2_induced" 2
"67" "MEF" 2
"68" "MEF" 2
"69" "MEF" 2
"70" "d2_induced" 2
"71" "d2_induced" 2
"72" "d2_intermediate" 2
"73" "d2_induced" 2
"74" "d2_intermediate" 2
"75" "d2_induced" 2
"76" "d2_induced" 2
"77" "d2_induced" 2
"78" "d2_induced" 2
"79" "d2_intermediate" 2
"80" "d2_intermediate" 2
"81" "d2_induced" 2
"82" "MEF" 0
"83" "MEF" 0
"84" "MEF" 0
"85" "MEF" 0
"86" "MEF" 0
"87" "MEF" 0
"88" "MEF" 0
"89" "MEF" 0
"90" "MEF" 0
"91" "MEF" 0
"92" "MEF" 0
"93" "MEF" 0
"94" "MEF" 0
"95" "MEF" 0
"96" "MEF" 0
"97" "MEF" 0
"98" "MEF" 0
"99" "MEF" 0
"100" "MEF" 0
"101" "MEF" 0
"102" "MEF" 0
"103" "MEF" 0
"104" "MEF" 0
"105" "MEF" 0
"106" "MEF" 0
"107" "MEF" 0
"108" "MEF" 0
"109" "MEF" 0
"110" "MEF" 0
"111" "MEF" 0
"112" "MEF" 0
"113" "MEF" 0
"114" "MEF" 0
"115" "MEF" 0
"116" "MEF" 0
"117" "MEF" 0
"118" "MEF" 0
"119" "MEF" 0
"120" "MEF" 0
"121" "MEF" 0
"122" "MEF" 0
"123" "MEF" 0
"124" "MEF" 0
"125" "MEF" 0
"126" "MEF" 0
"127" "MEF" 0
"128" "MEF" 0
"129" "MEF" 0
"130" "MEF" 0
"131" "MEF" 0
"132" "MEF" 0
"133" "MEF" 0
"134" "MEF" 0
"135" "MEF" 0
"136" "MEF" 0
"137" "MEF" 0
"138" "MEF" 0
"139" "MEF" 0
"140" "MEF" 0
"141" "MEF" 0
"142" "MEF" 0
"143" "MEF" 0
"144" "MEF" 0
"145" "MEF" 0
"146" "MEF" 0
"147" "MEF" 0
"148" "MEF" 0
"149" "MEF" 0
"150" "MEF" 0
"151" "MEF" 0
"152" "MEF" 0
"153" "MEF" 0
